entity_type	entity_text	ground_truth_answer	content_with_all_columns
Vehicle	autogyro	1	"The Cierva C.6 prototype was fitted with ailerons mounted on two small wings, also with elevators and a rudder. This complete three-axis control scheme was needed because the pilot had only limited control over the rotor. Only the front propeller was powered, so this aircraft could not hover, and could lose control at low speed. The vertical axis rotor spun freely; the faster the autogyro flew, the faster the rotor would spin and the greater lift it produced."
Vehicle	rotor	0	"The Cierva C.6 prototype was fitted with ailerons mounted on two small wings, also with elevators and a rudder. This complete three-axis control scheme was needed because the pilot had only limited control over the rotor. Only the front propeller was powered, so this aircraft could not hover, and could lose control at low speed. The vertical axis rotor spun freely; the faster the autogyro flew, the faster the rotor would spin and the greater lift it produced."
Designer	deepak perwani	1	"In the same year Sheikh made her runaway debut with Rehana Saigol's fashion show. She has done extensive print work for fashion/advertising labels/companies, such as Deepak Perwani, Amir Adnan, Nomi Ansari, Niche Lifestyle, Khaadi, Teejays, The Men's Store, Fahad Hussayn, Hang Ten, Maheen Khan, Umbereen Sharmeen, Chinyere, Crossroads and Limited Edition. In the following year, she did her second photoshoot for Niche Lifestyle, with Atif Aslam. In 2010, Sheikh did Mehreen Jabbar's mega revenge drama Daam and Haissam Hussain's romantic drama Ishq Gumshuda."
Designer	daam	0	"In the same year Sheikh made her runaway debut with Rehana Saigol's fashion show. She has done extensive print work for fashion/advertising labels/companies, such as Deepak Perwani, Amir Adnan, Nomi Ansari, Niche Lifestyle, Khaadi, Teejays, The Men's Store, Fahad Hussayn, Hang Ten, Maheen Khan, Umbereen Sharmeen, Chinyere, Crossroads and Limited Edition. In the following year, she did her second photoshoot for Niche Lifestyle, with Atif Aslam. In 2010, Sheikh did Mehreen Jabbar's mega revenge drama Daam and Haissam Hussain's romantic drama Ishq Gumshuda."
River	rio grande	1	"The Franklin Irrigation Company completed the canal in 1891 at a cost of $150,000. In 1912, the U.S. Reclamation Service purchased the canal, and it became a key part of the Rio Grande Project."
River	canal	0	"The Franklin Irrigation Company completed the canal in 1891 at a cost of $150,000. In 1912, the U.S. Reclamation Service purchased the canal, and it became a key part of the Rio Grande Project."
Protected_area	lake champlain	0	"The Rangers departed and crossed the Richelieu and returned to Lake Champlain by a route East of the river on a detour that led past Ile Aux Noix. They headed for Windmill Point to rendezvous with Grant and his ships. As they came across along the shores of the Missisquoi Bay they noticed a large a body of troops pursuing them. Roger's advance party engaged in a similar number which preceded a force in excess of 800 men out from Île aux Noix. The Rangers managed to ambush them and the French were beaten off. Realising the numbers Rogers quickened his march, so much so that the French prisoners could not keep up pace so Rogers ordered their breeches cut off so their pace could quicken. Having arrived at Windmill Point, Rogers sent the prisoners and a contingent of fifty soldiers along with his intelligence report to Crown Point, Rogers and the rest of the men waited for Holmes' force."
Protected_area	missisquoi bay	0	"The Rangers departed and crossed the Richelieu and returned to Lake Champlain by a route East of the river on a detour that led past Ile Aux Noix. They headed for Windmill Point to rendezvous with Grant and his ships. As they came across along the shores of the Missisquoi Bay they noticed a large a body of troops pursuing them. Roger's advance party engaged in a similar number which preceded a force in excess of 800 men out from Île aux Noix. The Rangers managed to ambush them and the French were beaten off. Realising the numbers Rogers quickened his march, so much so that the French prisoners could not keep up pace so Rogers ordered their breeches cut off so their pace could quicken. Having arrived at Windmill Point, Rogers sent the prisoners and a contingent of fifty soldiers along with his intelligence report to Crown Point, Rogers and the rest of the men waited for Holmes' force."
Band	swans	1	"The band's lineup and sound evolved over time, and their music became somewhat more conventional. A marked shift in Swans' music came with inclusion of Gira's partner, Jarboe, who added her ethereal voice and synthesizers to the group in 1985. Gira and Swans spent the next twelve years releasing studio, live, and side-project albums. Gira's frustration with various record labels grew over time, and he disbanded Swans in 1997. However, in 2010, Gira decided to revive the band, with members new and old. They released a new album titled My Father Will Guide Me Up a Rope to the Sky. A second post-revival album, The Seer, was released in 2012. A third, To Be Kind, was released in 2014. All three were met with increasing critical acclaim. The Glowing Man followed and was released in June 2016. The band's latest album, Leaving Meaning, was released in 2019."
Band	to be kind	0	"The band's lineup and sound evolved over time, and their music became somewhat more conventional. A marked shift in Swans' music came with inclusion of Gira's partner, Jarboe, who added her ethereal voice and synthesizers to the group in 1985. Gira and Swans spent the next twelve years releasing studio, live, and side-project albums. Gira's frustration with various record labels grew over time, and he disbanded Swans in 1997. However, in 2010, Gira decided to revive the band, with members new and old. They released a new album titled My Father Will Guide Me Up a Rope to the Sky. A second post-revival album, The Seer, was released in 2012. A third, To Be Kind, was released in 2014. All three were met with increasing critical acclaim. The Glowing Man followed and was released in June 2016. The band's latest album, Leaving Meaning, was released in 2019."
Celestial_body	neptune	1	"The average distance between Neptune and the Sun is 4.5 billion km (about 30.1 astronomical units (AU)), and it completes an orbit on average every 164.79 years, subject to a variability of around ±0.1 years. The perihelion distance is 29.81 AU; the aphelion distance is 30.33 AU."
Celestial_body	orbit	0	"The average distance between Neptune and the Sun is 4.5 billion km (about 30.1 astronomical units (AU)), and it completes an orbit on average every 164.79 years, subject to a variability of around ±0.1 years. The perihelion distance is 29.81 AU; the aphelion distance is 30.33 AU."
Soccer_player	graeme souness	1	"In 1996, he joined Colorado Rapids in the USA. In October 1996, Graeme Souness, now manager at Southampton, negotiated his loan from Colorado Rapids as cover for Dave Beasant, with a view to a permanent transfer. His second league appearance came in a 7-1 defeat at the hands of Everton, and in his fourth league appearance he broke his leg at Blackburn Rovers after which he returned to the US to recuperate."
Soccer_player	colorado rapids	0	"In 1996, he joined Colorado Rapids in the USA. In October 1996, Graeme Souness, now manager at Southampton, negotiated his loan from Colorado Rapids as cover for Dave Beasant, with a view to a permanent transfer. His second league appearance came in a 7-1 defeat at the hands of Everton, and in his fourth league appearance he broke his leg at Blackburn Rovers after which he returned to the US to recuperate."
Software	fighter	0	"The 4th Fighter Squadron, Fighting Fuujins is part of the 388th Fighter Wing at Hill Air Force Base, Utah. It operates the Lockheed Martin F-35 Lightning II aircraft, which replaced the unit's General Dynamics F-16 Fighting Falcons in August 2017. The 4th FS primarily conducts air superiority, strike, and close air support missions."
Software	general dynamics f-16	0	"The 4th Fighter Squadron, Fighting Fuujins is part of the 388th Fighter Wing at Hill Air Force Base, Utah. It operates the Lockheed Martin F-35 Lightning II aircraft, which replaced the unit's General Dynamics F-16 Fighting Falcons in August 2017. The 4th FS primarily conducts air superiority, strike, and close air support missions."
Stage_actor	margaret webster	1	"Garrett and her mother arrived in Manhattan] in the summer of 1936 and Garrett began classes in September. Her teachers included Graham and Anna Sokolow for dance, Sandy Meisner for drama, Lehman Engel for music, and Margaret Webster for the Shakespearean classics, and fellow students included Daniel Mann and Richard Conte. She felt she was destined to be a dramatic actress and shied away from playing comedic roles."
Stage_actor	daniel mann	1	"Garrett and her mother arrived in Manhattan] in the summer of 1936 and Garrett began classes in September. Her teachers included Graham and Anna Sokolow for dance, Sandy Meisner for drama, Lehman Engel for music, and Margaret Webster for the Shakespearean classics, and fellow students included Daniel Mann and Richard Conte. She felt she was destined to be a dramatic actress and shied away from playing comedic roles."
Airport	raaf base amberley	1	"The Australian Defence Force formed Joint Task Force 661, dubbed Operation Queensland Assist, to provide assistance with aeromedical evacuation, search and rescue, road clearance, restoration of essential services, emergency accommodation and the delivery of stores if required. The Royal Australian Navy landing ship HMAS Choules set sail from Sydney to Queensland to support post-storm recovery. Normally, HMAS Canberra and HMAS Adelaide would be deployed; however, propulsion issues with the two vessels kept them docked for repairs. Three MRH-90 helicopters from HMAS Albatross were also deployed to Queensland. The Royal Australian Air Force put transport aircraft on standby at Townsville, RAAF Base Amberley and RAAF Base Darwin. The Australian Defence Force's pre-deployment of resources was the largest in the nation's history in advance of a natural disaster; approximately 1,200 personnel were deployed."
Airport	hmas adelaide	0	"The Australian Defence Force formed Joint Task Force 661, dubbed Operation Queensland Assist, to provide assistance with aeromedical evacuation, search and rescue, road clearance, restoration of essential services, emergency accommodation and the delivery of stores if required. The Royal Australian Navy landing ship HMAS Choules set sail from Sydney to Queensland to support post-storm recovery. Normally, HMAS Canberra and HMAS Adelaide would be deployed; however, propulsion issues with the two vessels kept them docked for repairs. Three MRH-90 helicopters from HMAS Albatross were also deployed to Queensland. The Royal Australian Air Force put transport aircraft on standby at Townsville, RAAF Base Amberley and RAAF Base Darwin. The Australian Defence Force's pre-deployment of resources was the largest in the nation's history in advance of a natural disaster; approximately 1,200 personnel were deployed."
Street_or_road	stillwell avenue	1	"50th Street station opened on June 24, 1916, along with the first portion of the BMT West End Line from 36th Street on the BMT Fourth Avenue Line to 18th Avenue station. The line was originally a surface excursion railway to Coney Island, called the Brooklyn, Bath and Coney Island Railroad, which was established in 1862, but did not reach Coney Island until 1864. Under the Dual Contracts of 1913, an elevated line was built over New Utrecht Avenue, 86th Street and Stillwell Avenue."
Street_or_road	bmt fourth avenue line	0	"50th Street station opened on June 24, 1916, along with the first portion of the BMT West End Line from 36th Street on the BMT Fourth Avenue Line to 18th Avenue station. The line was originally a surface excursion railway to Coney Island, called the Brooklyn, Bath and Coney Island Railroad, which was established in 1862, but did not reach Coney Island until 1864. Under the Dual Contracts of 1913, an elevated line was built over New Utrecht Avenue, 86th Street and Stillwell Avenue."
Video_game	vincent kompany	0	"Liverpool kicked off the new calendar year with a daunting trip to the Etihad to face Manchester City, knowing full well a win could see their lead extended to ten points. In a tight first half, Liverpool had a goal very narrowly not scored as confirmed by goal-line technology before City defender Vincent Kompany controversially avoided a red card for a studs-up challenge on Salah, with Sergio Agüero opening the scoring for the champions in the 40th minute. Liverpool pulled themselves level in the second half, Firmino scoring after the hour mark, but Sané won the game for City just under ten minutes later. The defeat ended Liverpool's unbeaten start to the season and pulled City firmly back into the title race."
Video_game	sergio agüero	0	"Liverpool kicked off the new calendar year with a daunting trip to the Etihad to face Manchester City, knowing full well a win could see their lead extended to ten points. In a tight first half, Liverpool had a goal very narrowly not scored as confirmed by goal-line technology before City defender Vincent Kompany controversially avoided a red card for a studs-up challenge on Salah, with Sergio Agüero opening the scoring for the champions in the 40th minute. Liverpool pulled themselves level in the second half, Firmino scoring after the hour mark, but Sané won the game for City just under ten minutes later. The defeat ended Liverpool's unbeaten start to the season and pulled City firmly back into the title race."
Women_writer	emily dickinson	1	"In 2009, members from two of the town's poetry groups completed a poetry trail in memory of local poet Beth Fender, who died in 2002. Beth's Poetry Trail consists of 20 poems situated in a variety of locations in the town, such as outside Belper Library. Poems by Emily Dickinson, Philip Larkin and Spike Milligan are included on the trail, as well as Beth's own poetry."
Women_writer	spike milligan	0	"In 2009, members from two of the town's poetry groups completed a poetry trail in memory of local poet Beth Fender, who died in 2002. Beth's Poetry Trail consists of 20 poems situated in a variety of locations in the town, such as outside Belper Library. Poems by Emily Dickinson, Philip Larkin and Spike Milligan are included on the trail, as well as Beth's own poetry."
Artificial_material	ultramarine	0	"The palette is relatively limited compared to other works by Raphael. The sky and the blue drapery of the Virgin are painted in natural ultramarine and azurite, he further employed lead-tin yellow, malachite and verdigris."
Artificial_material	raphael	0	"The palette is relatively limited compared to other works by Raphael. The sky and the blue drapery of the Virgin are painted in natural ultramarine and azurite, he further employed lead-tin yellow, malachite and verdigris."
